date;time;status;reference;description;assetType;type;isin;shares;price;amount;fee;tax;currency
2024-07-26;11:57:22;Executed;"SCALuy5dq3dkt2Z";"China Mobile";Security;Buy;HK0941009539;40;8,656;-346,24;0,00;0,00;EUR
2024-07-24;11:09:40;Executed;"SCALEe3eg7MG1Zr";"China Mobile";Security;Buy;HK0941009539;55;8,986;-494,23;0,00;0,00;EUR
2024-07-23;16:27:27;Executed;"SCALt4Ln8Exb5oi";"China Mobile";Security;Buy;HK0941009539;4;8,943;-35,772;0,99;0,00;EUR
2024-07-23;16:23:06;Executed;"SCALipTZ9y9pjuy";"Bloom Energy A";Security;Buy;US0937121079;70;13,648;-955,36;0,00;0,00;EUR
2024-07-23;16:21:05;Executed;"SCALwcAUYpNS95Z";"Darktrace";Security;Sell;GB00BNYK8G86;108;6,896;744,768;0,00;0,00;EUR
2024-07-23;16:20:37;Executed;"SCAL7f5yBUkZNt3";"M1 Kliniken";Security;Sell;DE000A0STSQ8;25;15,50;387,50;0,00;0,00;EUR
2024-07-22;02:00:00;Executed;"WWEK 30867835";"M1 Kliniken";Cash;Distribution;DE000A0STSQ8;;;12,50;0,00;0,00;EUR
2024-07-22;02:00:00;Executed;"3WXHSURD8JZUPEPK";"Entgelt PRIME+ Broker";Cash;Fee;;;;-4,99;0,00;;EUR
2024-07-10;18:49:37;Executed;"SCAL9MLZwoU5vW2";"M1 Kliniken";Security;Buy;DE000A0STSQ8;10;16,80;-168,00;0,99;0,00;EUR
2024-07-10;18:21:32;Executed;"SCALSWu9VeyWzck";"M1 Kliniken";Security;Buy;DE000A0STSQ8;15;16,80;-252,00;0,00;0,00;EUR
2024-07-10;18:20:27;Executed;"SCALMftPT668hcB";"Intel Corp";Security;Sell;US4581401001;8;31,895;255,16;0,00;0,00;EUR
2024-07-10;14:01:11;Executed;"SCALqbvZgHimniU";"iShares MSCI India (Acc)";Security;Savings plan;IE00BZCQB185;4,259;9,391;-39,9962;0,00;0,00;EUR
2024-07-09;02:00:00;Executed;"940564081";"Gutschrift";Cash;Deposit;;;;50,00;0,00;;EUR
2024-07-09;02:00:00;Executed;"6ALPEDUN1TGVGQQC2ZBVHD";"Scalable Capital Broker Sparplan";Cash;Deposit;;;;40,00;0,00;;EUR
2024-07-04;15:23:13;Executed;"SCALTP6yAXfsEoj";"China Mobile";Security;Buy;HK0941009539;1;9,27;-9,27;0,99;0,00;EUR
2024-07-03;16:35:04;Executed;"SCALLXJWDz9GCfo";"Intel Corp";Security;Buy;US4581401001;8;28,77;-230,16;0,99;0,00;EUR
2024-07-03;16:33:43;Executed;"SCALfrdFrGC9p3q";"Hims & Hers Health A";Security;Sell;US4330001060;12;19,23;230,76;0,99;0,00;EUR
2024-06-28;02:00:00;Executed;"52024001";"KKT-Abschluss";Cash;Interest;;;;0,76;0,00;0,00;EUR
2024-06-20;02:00:00;Executed;"R3KSDFYCM5ONCXCZ";"Entgelt PRIME+ Broker";Cash;Fee;;;;-4,99;0,00;;EUR
2024-06-19;02:00:00;Executed;"CC3K7N3P8SNRP9CXGNIXSG";"Scalable Capital Broker Auszahlung";Cash;Withdrawal;;;;-1.100,00;0,00;;EUR
2024-06-18;13:41:44;Executed;"SCAL9298VmafUk2";"Hims & Hers Health A";Security;Buy;US4330001060;2;22,84;-45,68;0,99;0,00;EUR
2024-06-17;09:13:21;Executed;"SCALWhs1zaupGHx";"Hims & Hers Health A";Security;Buy;US4330001060;10;22,44;-224,40;0,99;0,00;EUR
2024-06-14;11:00:57;Executed;"SCALnUzcxTFJVjC";"Rexford Industrial Realty";Security;Sell;US76169C1009;33;41,80;1.379,40;0,00;0,00;EUR
2024-06-13;19:40:52;Executed;"SCALqGPPiwb75Kg";"iShares MSCI India (Acc)";Security;Buy;IE00BZCQB185;5;9,116;-45,58;0,99;0,00;EUR
2024-06-11;18:48:35;Executed;"SCAL7GTCYdzr8c9";"iShares MSCI India (Acc)";Security;Buy;IE00BZCQB185;12;9,019;-108,228;0,99;0,00;EUR
2024-06-11;17:36:17;Executed;"SCALjnFXEXbAedN";"HANetf Sprott Uranium Miners (Acc)";Security;Sell;IE0005YK6564;12;10,25;123,00;0,99;0,00;EUR
2024-06-10;16:21:20;Executed;"SCALntRciJcQNFE";"Vodafone Group";Security;Buy;GB00BH4HKS39;71;0,8414;-59,7394;0,99;0,00;EUR
2024-06-10;16:20:24;Executed;"SCALDL1uXGp5D6T";"Vodafone Group ADR";Security;Sell;US92857W3088;6;8,30;49,80;0,99;0,00;EUR
2024-06-07;02:00:00;Executed;"938992865";"Gutschrift";Cash;Deposit;;;;50,00;0,00;;EUR
2024-06-05;20:27:20;Executed;"SCALQUg2523Teb2";"Vodafone Group ADR";Security;Buy;US92857W3088;6;9,00;-54,00;0,99;0,00;EUR
2024-06-03;15:05:02;Executed;"SCAL6jqQ4cs1GKK";"Rexford Industrial Realty";Security;Buy;US76169C1009;3;42,20;-126,60;0,99;0,00;EUR
2024-06-03;15:03:57;Cancelled;"SCALkuYD1c2xy3T";"Darktrace";Security;Buy;GB00BNYK8G86;0;0,00;0,00;0,00;0,00;EUR
2024-06-03;12:07:02;Executed;"SCAL4q5cQ4EVDhg";"Rexford Industrial Realty";Security;Buy;US76169C1009;30;42,00;-1.260,00;0,00;0,00;EUR
2024-06-03;11:52:11;Executed;"SCALRogSLXJgxd3";"21Shares Solana ETP Staking";Security;Sell;CH1114873776;14;96,19;1.346,66;9,2899;0,00;EUR
2024-05-31;16:08:31;Executed;"SCALKNrjwLby2B9";"HANetf Sprott Uranium Miners (Acc)";Security;Buy;IE0005YK6564;6;11,542;-69,252;0,99;0,00;EUR
2024-05-30;12:38:17;Executed;"SCALEbT7R51rcpT";"21Shares Solana ETP Staking";Security;Buy;CH1114873776;14;96,99;-1.357,8599;9,36;0,00;EUR
2024-05-30;12:32:39;Cancelled;"SCALmQPyffgJ4hu";"PNE AG";Security;Buy;DE000A0JBPG2;0;0,00;0,00;0,00;0,00;EUR
2024-05-30;10:57:07;Executed;"SCAL8wDCpPZ7akJ";"Nutanix A";Security;Sell;US67059N1081;25;59,90;1.497,50;0,00;0,00;EUR
2024-05-30;02:00:00;Executed;"AASE 14693049";"";Cash;Taxes;;;;19,25;0,00;;EUR
2024-05-29;11:51:08;Executed;"SCALKuCoKHf4nM2";"Darktrace";Security;Buy;GB00BNYK8G86;8;6,978;-55,824;0,99;0,00;EUR
2024-05-29;11:04:56;Executed;"SCALfT3TN685pHS";"Nutanix A";Security;Buy;US67059N1081;5;66,18;-330,90;0,00;0,00;EUR
2024-05-29;11:02:02;Executed;"SCALzwRLXPhShP2";"Nutanix A";Security;Buy;US67059N1081;20;66,18;-1.323,60;0,00;0,00;EUR
2024-05-29;07:30:41;Cancelled;"SCAL2k9BxkfA4mS";"HubSpot";Security;Buy;US4435731009;0;0,00;0,00;0,00;0,00;EUR
2024-05-28;17:21:45;Executed;"SCALEVCQtmQTBYQ";"Coinbase Global A";Security;Sell;US19260Q1076;8;219,75;1.758,00;0,00;19,25;EUR
2024-05-22;14:24:04;Executed;"SCALnq86i4YbVA6";"HANetf Sprott Uranium Miners (Acc)";Security;Buy;IE0005YK6564;6;11,722;-70,3319;0,99;0,00;EUR
2024-05-22;13:35:18;Executed;"SCALXvqVtu5GXqk";"Coinbase Global A";Security;Buy;US19260Q1076;8;210,10;-1.680,80;0,00;0,00;EUR
2024-05-22;12:34:46;Executed;"SCAL4mufXLnzm9r";"Darktrace";Security;Buy;GB00BNYK8G86;42;7,038;-295,596;0,00;0,00;EUR
2024-05-21;02:00:00;Executed;"MZNFYZ6VNS2BLF6Q";"Entgelt PRIME+ Broker";Cash;Fee;;;;-4,99;0,00;;EUR
2024-05-21;02:00:00;Executed;"938092913";"BTC.";Cash;Deposit;;;;2.050,00;0,00;;EUR
2024-05-08;13:18:41;Executed;"SCALaDeTWFRRDNQ";"Darktrace";Security;Buy;GB00BNYK8G86;7;7,072;-49,504;0,99;0,00;EUR
2024-05-07;02:00:00;Executed;"937725321";"Gutschrift";Cash;Deposit;;;;50,00;0,00;;EUR
2024-04-24;14:30:11;Executed;"SCALSATv2msN5TA";"Darktrace";Security;Buy;GB00BNYK8G86;14;5,998;-83,972;0,99;0,00;EUR
2024-04-24;14:29:16;Executed;"SCALRjgs9XRkLq9";"M1 Kliniken";Security;Sell;DE000A0STSQ8;7;13,30;93,10;0,99;0,00;EUR
2024-04-22;17:09:40;Executed;"SCALvyCCtYhLV8S";"Darktrace";Security;Buy;GB00BNYK8G86;18;5,684;-102,312;0,99;0,00;EUR
2024-04-22;02:00:00;Executed;"936936703";"M1";Cash;Deposit;;;;100,00;0,00;;EUR
2024-04-17;20:59:51;Executed;"SCALhe2i2CfuaiT";"Darktrace";Security;Buy;GB00BNYK8G86;19;5,162;-98,078;0,99;0,00;EUR
2024-04-17;02:00:00;Executed;"936853362";"Gutschrift";Cash;Deposit;;;;100,00;0,00;;EUR
2024-04-12;10:16:19;Executed;"SCALRLADY94gcfo";"M1 Kliniken";Security;Buy;DE000A0STSQ8;7;13,90;-97,30;0,99;0,00;EUR
2024-04-11;02:00:00;Executed;"936561163";"Gutschrift";Cash;Deposit;;;;100,00;0,00;;EUR
2024-04-09;02:00:00;Executed;"XBJZT2WYN5GPMUHC2YPKOW";"Scalable Capital Broker Erste Einzahlung";Cash;Deposit;;;;1,00;0,00;;EUR
